"Dataset_ID","slice","Lat","Lon","Jul","MAT"
7,4000,47,-80.116667,"other","other"
7,4500,47,-80.116667,"other","other"
7,5500,47,-80.116667,"other","other"
7,6000,47,-80.116667,"other","other"
7,6500,47,-80.116667,"other","other"
7,5000,47,-80.116667,"other","other"
7,7500,47,-80.116667,"other","other"
7,500,47,-80.116667,"other","other"
7,1000,47,-80.116667,"other","other"
7,1500,47,-80.116667,"other","other"
7,2000,47,-80.116667,"other","other"
7,2500,47,-80.116667,"other","other"
7,3000,47,-80.116667,"other","other"
7,3500,47,-80.116667,"other","other"
7,7000,47,-80.116667,"other","other"
7,0,47,-80.116667,"other","other"
8,4500,33.956389,-119.976667,"other","other"
8,5000,33.956389,-119.976667,"other","other"
8,3500,33.956389,-119.976667,"other","other"
8,4000,33.956389,-119.976667,"other","other"
8,0,33.956389,-119.976667,"other","other"
8,500,33.956389,-119.976667,"other","other"
8,1000,33.956389,-119.976667,"other","other"
8,1500,33.956389,-119.976667,"other","other"
8,2000,33.956389,-119.976667,"other","other"
8,2500,33.956389,-119.976667,"other","other"
8,3000,33.956389,-119.976667,"other","other"
9,0,43.305556,41.333333,"other","other"
9,500,43.305556,41.333333,"other","other"
9,1000,43.305556,41.333333,"other","other"
9,1500,43.305556,41.333333,"other","other"
9,2000,43.305556,41.333333,"other","other"
9,2500,43.305556,41.333333,"other","other"
9,3000,43.305556,41.333333,"other","other"
9,3500,43.305556,41.333333,"other","other"
9,4500,43.305556,41.333333,"other","other"
12,500,55.934475,13.42774,"other","other"
12,1000,55.934475,13.42774,"other","other"
12,1500,55.934475,13.42774,"other","other"
12,0,55.934475,13.42774,"boreal","other"
12,6500,55.934475,13.42774,"other","other"
12,7000,55.934475,13.42774,"other","other"
12,7500,55.934475,13.42774,"other","other"
12,8000,55.934475,13.42774,"other","other"
12,8500,55.934475,13.42774,"other","other"
12,9000,55.934475,13.42774,"other","other"
12,9500,55.934475,13.42774,"other","other"
12,10000,55.934475,13.42774,"boreal","other"
12,3500,55.934475,13.42774,"other","other"
12,4000,55.934475,13.42774,"other","other"
12,4500,55.934475,13.42774,"other","other"
12,5000,55.934475,13.42774,"other","other"
12,5500,55.934475,13.42774,"other","other"
